country,incomeperperson,internetuserate,urbanrate
Afghanistan,1232794137,3654121623,2404
Albania,1326741757,4498994696,4672
Algeria,2231993335,1250007331,6522
Andorra,219433399,81,8892
Angola,1381004268,9999953883,567
Antigua and Barbuda,1189446407,8064545455,3046
Argentina,1074941924,3600033495,92
Armenia,1326741757,4400102458,6386
Aruba,3545652174,4180088889,4678
Australia,2524998606,758956538,8874
Austria,2669298411,7273157554,6716
Azerbaijan,2344896916,4667970157,5192
Bahamas,1963054055,4298458017,837
Bahrain,1250521254,5499280903,8852
Bangladesh,5580628766,370000326,2714
Barbados,9243587053,7002859927,3984
Belarus,2737670379,3205214391,7346
Belgium,2449604826,7373393447,9736
Belize,3545652174,1264573333,517
Benin,3770396995,3129961803,412
Bermuda,6268214701,8465451409,100
Bhutan,1324194906,1359887603,3448
Bolivia,1232794137,2000171014,6558
Bosnia and Herzegovina,2183344867,5200206064,4744
Botswana,4189436587,5999835575,5958
Brazil,4699411262,40650098,8558
Brunei,1709246,4998997494,7482
Bulgaria,2549558474,4598658991,711
Burkina Faso,276200413,14000607,1956
Burundi,1153059959,2100212706,104
Cambodia,5579475126,1259933609,2156
Cameroon,7136393027,3999977346,5676
Canada,2557535262,8133839269,804
Cape Verde,1959844472,2999993952,5962
Cayman Islands,1959844453,66,100
Central African Rep.,2395187494,2300026653,3858
Chad,2758842865,1700031496,2668
Chile,6334105194,45,8844
China,2425471293,3437778952,431
Colombia,323342378,3649987464,745
Comoros,3363687495,5098265306,2808
Congo  Dem. Rep.,1037758572,720008677,3396
Congo  Rep.,1253292015,4999875093,6134
Cook Islands,3363687463,1700311496,2398
Costa Rica,5188900935,3649911472,6326
Cote d'Ivoire,5910679443,2599973655,4878
Croatia,6338494668,6011970702,5728
Cuba,4495046262,1589997034,7566
Cyprus,1531385935,5302474483,699
Czech Rep.,7381312751,6863813347,735
Denmark,3053227704,8877025387,8668
Djibouti,8953183396,649792351,873
Dominica,614777961,4728043603,7392
Dominican Rep.,4049169629,3953127426,6902
Ecuador,1728020976,2899947674,6558
Egypt,1975551906,2674002538,4272
El Salvador,2557433638,1589998203,607
Equatorial Guinea,8654536845,6003437143,3938
Eritrea,131796207,5399666997,2072
Estonia,6238537506,741630403,6946
Ethiopia,2208912479,74999585,17
Faeroe Islands,131782307,752,4142
Fiji,2230676374,1483073588,5236
Finland,2711073159,8689884451,633
France,2287846657,7749861935,7736
French Polynesia,131793547,4895732841,5164
Gabon,4180765821,7232224246,8504
Gambia,3545997263,9196775477,5642
Georgia,1258762596,2629725148,5274
Germany,2530618719,8252689791,7364
Ghana,3589795398,9549930701,5002
Gibraltar,3545997263,65,4328
Greece,1357787989,4457007444,61
Greenland,2075189342,6384915272,8352
Grenada,5330401612,3361668288,3084
Guadeloupe,1860362895,769958926,4788
Guam,4686960455,1042534819,9316
Guatemala,1860753895,1049994819,4858
Guinea,4115014473,999958926,3444
Guinea-Bissau,1613171371,2450362244,2984
Guyana,1200652075,2987992146,2838
Haiti,3714241975,8370206884,4684
Honduras,1392411829,1109076463,4788
Hong Kong China,3553607247,7184912394,100
Hungary,5634003948,6516325092,675
Iceland,3394531442,9563811321,9226
India,7867000981,7499995878,2954
Indonesia,1143831514,9900038672,5146
Iran,216154651,1300011072,6846
Iraq,7362680538,2471948347,666
Ireland,2759509135,6977039441,6134
Israel,2227575166,6538778594,9166
Italy,1898226929,537402166,6808
Jamaica,3665348369,2647722324,533
Japan,3930947886,7763853515,6648
Jordan,253400038,3888120159,7842
Kazakhstan,2481718918,3338212816,5794
Kenya,4686960436,258997967,216
Kiribati,760262365,895914,4384
Korea  Dem. Rep.,1637224378,82515925,6268
Korea  Rep.,1637249978,82515928,8146
Kuwait,5011219456,3826023355,9836
Kyrgyzstan,372728414,1958231645,3628
Laos,5548798401,6999880342,3088
Latvia,5011219456,7151472354,6812
Lebanon,6746612632,3100437828,8696
Lesotho,4957342469,3860565398,2546
Liberia,1550332312,7000213821,6014
Libya,7885468037,1400024673,7754
Liechtenstein,8164710003,80,1432
Lithuania,5332238591,6281190001,6696
Luxembourg,5230158718,9007952663,8244
Macao,3392331387,5676408235,100
Macedonia,2221185664,5191418432,669
Madagascar,2426775342,1699985145,2952
Malawi,1841417966,2259975885,188
Malaysia,5184709328,563000337,7036
Maldives,4038857818,2828970095,3786
Mali,2698928811,2699966448,3218
Malta,1106678414,6307799279,9426
Marshall Islands,2437282445,2828970095,7108
Martinique,5182143721,2001153153,4176
Mauritania,6091312059,2999803179,41
Mauritius,5182143721,287318835,4248
Mexico,6105280743,3105001287,772
Micronesia  Fed. Sts.,2146358593,2001153153,2254
Moldova,5958745345,401222347,4176
Monaco,1051474377,5191418432,100
Mongolia,7729333448,1290000468,5718
Montenegro,2222335052,5195803797,6018
Morocco,1844351028,4900063184,5602
Mozambique,3897636343,4170136385,3684
Myanmar,5958741245,2999803179,3258
Namibia,266724671,6500822821,3684
Nauru,5958745345,8300258425,3286
Nepal,2682594495,7930096349,1724
Netherlands,2655184424,9070355509,8182
Netherlands Antilles,2652344424,8987655509,9268
New Caledonia,5958745345,5195803797,6478
New Zealand,1477816393,8300258425,8656
Nicaragua,948355952,9998554154,5674
Niger,180083376,829997485,1654
Nigeria,5445994767,2843003266,4836
Niue,234183376,7930096241,4372
Norway,3997235277,9327750793,7748
Oman,1119181101,6198741286,7162
Pakistan,668547943,1678003702,3616
Palau,6243571318,822867485,8046
Panama,5900616944,4274781206,732
Papua New Guinea,7442394132,1280049647,1254
Paraguay,1621177078,1980168119,603
Peru,3180430612,3430060399,714
Philippines,1383401869,2499994585,6492
Poland,6575745044,6247123013,6132
Portugal,1174483417,512804784,5946
Puerto Rico,1582211214,4269233477,9832
Qatar,3393183208,8159039727,9564
Reunion,882211214,989233477,1276
Romania,26367878,4002009488,5424
Russia,2923144355,4336649772,7284
Rwanda,3382663912,1300000612,1834
Saint Kitts and Nevis,9175796015,7658753846,3232
Saint Lucia,5248582321,4006137931,2784
Saint Vincent and the Grenadines,4885046701,4023137931,4704
Samoa,1784071284,6965038043,23
San Marino,3199320069,4023133251,9422
Sao Tome and Principe,5248585421,1879511364,6056
Saudi Arabia,942532587,4100012846,8242
Senegal,5617085848,1599964999,4238
Serbia,1194711433,4305506706,5204
Serbia and Montenegro,1194715413,1599964999,5298
Seychelles,8614120219,4077285057,5434
Sierra Leone,2683317903,4032485057,3776
Singapore,3253583251,7113170731,100
Slovak Republic,8445526689,7988977734,5656
Slovenia,127294544,6933997072,486
Solomon Islands,1144102193,5001375465,1796
Somalia,127294321,4077282318,3652
South Africa,3745649852,1233489326,6074
Spain,1546175837,6580855367,7712
Sri Lanka,1295742686,1199997066,151
Sudan,5239501515,7988977734,4344
Suriname,2668020519,315680976,7492
Swaziland,1810230533,9007735909,2494
Sweden,3229248298,9001619002,8454
Switzerland,3766275125,8216665988,7348
Syria,1525780116,2066315568,5422
Taiwan,2712517199,1200669231,4862
Tajikistan,2791804526,1154939051,2646
Tanzania,4563857117,1100005544,2552
Thailand,2712517199,2120007177,3332
Timor-Leste,3695729537,210066326,273
Togo,2852244493,5379819715,42
Tonga,2025282665,1200669231,2478
Trinidad and Tobago,104808172,4851681767,1322
Tunisia,3164927693,3656255296,665
Turkey,5348597192,3982017789,6868
Turkmenistan,2062125152,2199997818,4862
Tuvalu,171494289,25,4281
Uganda,3774211133,1250025543,1298
Ukraine,1036830725,4458535469,6798
United Arab Emirates,2108739412,7799678115,7788
United Kingdom,2803348928,8473170475,8994
United States,3749117952,74247572,817
Uruguay,9106327234,4786746863,923
Uzbekistan,9528272608,1944502055,3682
Vanuatu,1543956457,7988366667,2476
Venezuela,5528363114,3585043696,9332
Vietnam,7228075588,2785182156,2784
West Bank and Gaza,3207713251,3642277179,719
Yemen Rep.,6103573673,1234975046,3064
Zambia,432226337,1012498646,3542
Zimbabwe,3207718899,1150041532,3734
